NFL '26 Survey — By Country (Col M),,,,,,,,,,,,,
Breakdown: Tidy Country,,,,,,,,,,,,,
Question,Response,Total N,Global Average %,Australia %,Brazil %,DACH %,France %,Italy %,Japan %,Mexico %,RoW %,Spain %,United Kingdom %
,9,1909,10.10%,7.00%,13.90%,8.20%,10.40%,10.60%,4.00%,14.50%,13.00%,12.90%,8.10%
,Base (answered),18867,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
"How satisfied are you with your overall experience of NFL Game Pass on DAZN so far? 
Pleas",Detractor,6284,33.90%,47.70%,18.80%,41.90%,36.70%,27.00%,37.70%,22.10%,28.60%,31.00%,39.30%
,Passive,6763,36.50%,32.70%,30.90%,37.30%,38.90%,43.50%,36.50%,28.40%,36.30%,39.40%,40.90%
,Promoter,5500,29.70%,19.50%,50.30%,20.80%,24.40%,29.40%,25.80%,49.50%,35.10%,29.50%,19.80%
,Base (answered),18547,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
"How satisfied are you with your overall experience of NFL Game Pass on DAZN so far? 
Pleas",0,644,3.50%,6.30%,3.60%,3.40%,4.10%,3.40%,2.50%,3.60%,2.90%,4.70%,3.60%
,1,410,2.20%,4.80%,1.10%,3.00%,1.30%,0.90%,1.90%,1.80%,1.90%,1.60%,2.60%
,10,3024,16.30%,9.90%,29.10%,10.20%,13.70%,15.10%,16.20%,30.80%,18.90%,14.30%,9.50%
,2,565,3.00%,4.10%,1.10%,4.60%,3.30%,2.10%,2.90%,2.00%,2.30%,2.00%,3.40%
,3,729,3.90%,5.10%,2.20%,5.60%,4.10%,2.00%,5.00%,2.70%,2.60%,2.50%,5.10%
,4,709,3.80%,5.50%,1.30%,5.40%,3.50%,2.90%,3.50%,2.00%,3.50%,2.90%,4.80%
,5,1587,8.60%,10.70%,4.00%,9.10%,8.90%,6.50%,14.60%,5.10%,7.20%,8.20%,9.00%
,6,1640,8.80%,11.10%,5.40%,10.80%,11.30%,9.40%,7.40%,4.80%,8.10%,9.10%,11.00%
,7,2889,15.60%,16.20%,8.50%,16.70%,18.50%,17.50%,15.90%,9.70%,15.00%,17.50%,18.90%
,8,3874,20.90%,16.50%,22.40%,20.60%,20.40%,26.10%,20.60%,18.80%,21.40%,21.90%,22.00%
,9,2476,13.30%,9.60%,21.30%,10.50%,10.70%,14.30%,9.60%,18.60%,16.20%,15.20%,10.30%
,Base (answered),18547,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
How would you rate NFL Game Pass on DAZN for the following aspects? - Ease of navigation,Average,5410,29.70%,33.10%,19.80%,34.80%,27.10%,30.30%,34.80%,23.90%,26.30%,26.70%,29.70%
,Don't know / Not applicable,280,1.50%,0.40%,0.70%,1.20%,0.30%,0.30%,5.70%,0.80%,1.50%,1.20%,0.50%
,Excellent,2396,13.10%,9.40%,26.80%,7.80%,14.50%,15.10%,5.50%,24.30%,16.20%,10.70%,12.30%
,Good,5940,32.60%,29.20%,38.20%,32.90%,41.70%,35.90%,18.50%,34.70%,33.70%,35.10%,36.00%
,Poor,2620,14.40%,15.60%,8.20%,15.40%,9.70%,11.20%,22.30%,9.00%,13.70%,14.90%,15.10%
,Very Poor,1597,8.80%,12.20%,6.40%,7.80%,6.60%,7.20%,13.10%,7.30%,8.60%,11.40%,6.50%
